"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","73.50","73.40","73.90","73.00","53.45K","0.68%"
"02/21/2024","73.00","72.30","73.00","71.70","8.33K","1.39%"
"02/20/2024","72.00","73.00","73.00","72.00","39.00K","-1.37%"
"02/19/2024","73.00","73.40","73.40","72.50","1.46K","-0.54%"
"02/16/2024","73.40","72.00","73.40","71.10","57.84K","2.37%"
"02/15/2024","71.70","72.00","72.00","71.50","25.10K","-0.42%"
"02/14/2024","72.00","71.50","73.00","71.20","221.68K","0.70%"
"02/13/2024","71.50","71.90","72.00","71.50","116.42K","-0.69%"
"02/12/2024","72.00","74.00","75.00","72.00","139.12K","-4.00%"
"02/09/2024","75.00","71.00","75.00","70.00","122.94K","5.63%"
"02/08/2024","71.00","70.50","72.30","70.20","178.12K","1.43%"
"02/07/2024","70.00","70.00","70.10","68.90","70.33K","1.89%"
"02/06/2024","68.70","69.70","71.00","68.70","99.78K","-0.87%"
"02/02/2024","69.30","69.00","69.50","69.00","57.24K","0.43%"
"02/01/2024","69.00","69.00","69.00","68.50","119.86K","0.00%"
"01/31/2024","69.00","69.00","69.00","68.50","27.00K","0.73%"
"01/30/2024","68.50","69.50","69.50","68.00","82.68K","0.29%"
"01/29/2024","68.30","68.50","69.00","68.00","56.65K","0.29%"
"01/26/2024","68.10","69.00","69.50","68.00","21.15K","0.15%"
"01/24/2024","68.00","68.30","68.60","68.00","77.95K","-0.73%"
"01/23/2024","68.50","69.50","69.50","68.30","111.84K","-1.15%"
"01/22/2024","69.30","71.00","71.00","69.30","13.48K","0.43%"
"01/19/2024","69.00","69.00","72.00","69.00","6.05K","-0.43%"
"01/18/2024","69.30","69.90","70.00","69.00","109.31K","-0.29%"
"01/17/2024","69.50","69.80","70.00","68.50","51.17K","0.72%"
"01/16/2024","69.00","70.00","70.00","68.60","151.20K","0.58%"
"01/12/2024","68.60","70.00","70.00","68.50","261.19K","-1.29%"
"01/11/2024","69.50","70.00","70.00","68.50","110.46K","0.72%"
"01/10/2024","69.00","70.00","70.00","69.00","63.52K","-1.43%"
"01/09/2024","70.00","70.40","70.40","69.50","24.52K","0.00%"
"01/08/2024","70.00","70.50","70.80","69.50","7.22K","0.00%"
"01/05/2024","70.00","69.00","70.40","69.00","81.53K","1.45%"
"01/04/2024","69.00","70.00","70.00","68.20","52.63K","0.00%"
"01/03/2024","69.00","68.90","69.10","68.00","58.52K","0.15%"
"01/02/2024","68.90","67.00","68.90","67.00","9.03K","0.00%"
"12/29/2023","68.90","67.90","68.90","66.50","273.14K","2.07%"
"12/28/2023","67.50","68.30","68.30","67.40","192.90K","-0.74%"
"12/27/2023","68.00","68.20","68.20","67.80","129.40K","0.00%"
"12/22/2023","68.00","69.00","69.00","68.00","20.94K","-1.31%"
